feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
house|Saturn|12,0.07095553453169347,0.083538315988647,0.00868334988153231,0.8493771234428097,-1.4490699590159906,0.1890547263681592,0.14731804641892507,0.9937725843174945,1057,200,déficit
angular|Jupiter|IC,0.05392620624408704,0.04489120151371808,0.006277514248524254,1.2012644889357216,1.4392647109471632,0.1691542288557214,0.15007553714813687,0.9955010630826412,1057,200,exceso
angular|Moon|ASC,0.03595080416272469,0.044058656575212865,0.006289511132720863,0.8159759501825209,-1.2891069339725758,0.22885572139303484,0.19736091327768013,0.9964460627800001,1057,200,déficit
house|Pluto|12,0.07473982970671712,0.0851182592242194,0.0076536335926565575,0.8780704679337566,-1.3560133748054097,0.208955223880597,0.1750949125848627,0.9964460627800001,1057,200,déficit
house|Neptune|8,0.07473982970671712,0.08548249763481547,0.008475695351872849,0.8743290354711974,-1.267467444511744,0.21890547263681592,0.2049881972077389,0.9964460627800001,1057,200,déficit
aspect|Sun|Pluto|square,0.06338694418164617,0.07328287606433284,0.007481829200512403,0.8649625613219748,-1.322662094719956,0.23880597014925373,0.18594777438550208,0.9964460627800001,1057,200,déficit
aspect|Sun|Neptune|square,0.06906338694418164,0.07852885525070935,0.007292261389432687,0.8794650924643116,-1.2980154990390562,0.208955223880597,0.1942820091088187,0.9964460627800001,1057,200,déficit
aspect|Sun|Neptune|sextile,0.07663197729422895,0.06770104068117305,0.0070304495160928545,1.1319172722191182,1.2703222735065214,0.2885572139303483,0.20396985734327075,0.9964460627800001,1057,200,exceso
house|Mercury|10,0.07190160832544938,0.08392620624408696,0.008488788719165403,0.8567241573667013,-1.4165269411746897,0.19900497512437812,0.15662128194627437,0.9964460627800001,1057,200,déficit
house|Jupiter|5,0.07190160832544938,0.08294701986754954,0.008474655181853207,0.8668377530652992,-1.3033464259114305,0.1890547263681592,0.19245651790475177,0.9964460627800001,1057,200,déficit
house|Mars|12,0.09366130558183539,0.08289971617786174,0.007798893527695383,1.129814550641942,1.3798866936389318,0.1691542288557214,0.1676215341979136,0.9964460627800001,1057,200,exceso
house|Mars|7,0.0946073793755913,0.08274361400189202,0.008676530639544763,1.1433798307797869,1.3673397659230466,0.208955223880597,0.17151883278757288,0.9964460627800001,1057,200,exceso
house|Mars|2,0.09555345316934721,0.08371807000946062,0.00832907362769381,1.1413719064301069,1.420972330048141,0.1691542288557214,0.1553248036731119,0.9964460627800001,1057,200,exceso
house|Mercury|2,0.0946073793755913,0.08355250709555335,0.00852209716620687,1.1323104795334895,1.297200919496016,0.25870646766169153,0.19456206444584814,0.9964460627800001,1057,200,exceso
aspect|Moon|Venus|square,0.06717123935666983,0.0779943235572373,0.00835745669180976,0.8612324114507539,-1.295021272580929,0.21890547263681592,0.19531289122563747,0.9964460627800001,1057,200,déficit
aspect|Saturn|Neptune|sextile,0.08893093661305582,0.08598864711447474,0.002318930833632748,1.0342171856089801,1.2688129615197716,0.25870646766169153,0.20450778114936255,0.9964460627800001,1057,200,exceso
aspect|Jupiter|Saturn|trine,0.07379375591296121,0.0784058656575211,0.00360651906984724,0.9411764705882375,-1.2788258304579665,0.29850746268656714,0.20095839568127644,0.9964460627800001,1057,200,déficit
aspect|Mars|Saturn|conjunction,0.05487228003784295,0.04883632923368032,0.0047918305496381505,1.1235955056179754,1.2596336079994375,0.31840796019900497,0.2078015658561307,0.9964460627800001,1057,200,exceso
aspect|Mercury|Neptune|trine,0.07757805108798486,0.08703405865657517,0.007307664778802904,0.89135279091255,-1.2939848576550779,0.23880597014925373,0.19567065124870878,0.9964460627800001,1057,200,déficit
aspect|Venus|Neptune|trine,0.0804162724692526,0.09017029328287608,0.0075878142590544,0.891826670863498,-1.2854849210342993,0.1890547263681592,0.19862288270174244,0.9964460627800001,1057,200,déficit
aspect|Moon|Uranus|sextile,0.05771050141911069,0.06714758751182584,0.0072699860535843435,0.8594575554772818,-1.298088610233627,0.25870646766169153,0.19425688769620175,0.9964460627800001,1057,200,déficit
aspect|Mercury|Saturn|opposition,0.052980132450331126,0.04546357615894045,0.005580709183075918,1.1653313911143468,1.3468819185535446,0.208955223880597,0.17801826583699384,0.9964460627800001,1057,200,exceso
angular|Jupiter|MC,0.03595080416272469,0.04506149479659415,0.006908262876056288,0.7978165022044926,-1.31881064709432,0.14925373134328357,0.18723242387584557,0.9964460627800001,1057,200,déficit
angular|Uranus|MC,0.036896877956480605,0.04455534531693473,0.006069768212994999,0.8281133878331031,-1.261739673033613,0.208955223880597,0.20704247617594726,0.9964460627800001,1057,200,déficit
angular|Pluto|MC,0.036896877956480605,0.04517975402081367,0.0059219140847731515,0.8166684116846394,-1.3986822412082254,0.24875621890547264,0.16190829194552328,0.9964460627800001,1057,200,déficit
angular|Pluto|DSC,0.0510879848628193,0.045179754020813666,0.006889478365170405,1.1307716469479625,0.8575730307644993,0.3681592039800995,0.3911282723324965,1.0,1057,200,exceso
angular|Pluto|ASC,0.052980132450331126,0.04617786187322619,0.00701684154751384,1.1473058799426328,0.9694205763439345,0.3681592039800995,0.3323353900847206,1.0,1057,200,exceso
angular|Neptune|IC,0.036896877956480605,0.045179754020813645,0.006884906927972107,0.81666841168464,-1.2030483710217261,0.22885572139303484,0.22895760273241167,1.0,1057,200,déficit
angular|Neptune|MC,0.0510879848628193,0.04441343424787134,0.005795782967586396,1.1502822451805301,1.1516219037662678,0.31840796019900497,0.24947647654959093,1.0,1057,200,exceso
angular|Neptune|DSC,0.03784295175023652,0.04515610217596978,0.0062003470218668895,0.8380473496752557,-1.1794743745699754,0.26865671641791045,0.23820933477140055,1.0,1057,200,déficit
angular|Neptune|ASC,0.04541154210028382,0.0442431409649953,0.006542900231493525,1.026408638939377,0.17857541670352142,0.9253731343283582,0.8582710988117557,1.0,1057,200,exceso
angular|Uranus|IC,0.03878902554399243,0.044380321665089886,0.006218079595943612,0.8740140694947771,-0.8991998308842746,0.417910447761194,0.3685462304130152,1.0,1057,200,déficit
aspect|Sun|Moon|square,0.07947019867549669,0.0800756859035003,0.009628049474305527,0.9924385633270344,-0.06288783928868187,1.0,0.9498558185185263,1.0,1057,200,déficit
aspect|Sun|Mars|opposition,0.01608325449385052,0.013897824030274375,0.002922374023128246,1.1572498298162004,0.747827090673616,0.5970149253731343,0.4545644593450462,1.0,1057,200,exceso
aspect|Sun|Jupiter|conjunction,0.05581835383159887,0.052194891201513854,0.00573721605445631,1.0694217872031875,0.631571583794641,0.5671641791044776,0.5276668597416041,1.0,1057,200,exceso
aspect|Sun|Jupiter|sextile,0.07095553453169347,0.07859508041627225,0.007093057090708141,0.9027986758952778,-1.0770455935828485,0.27860696517412936,0.2814598972539399,1.0,1057,200,déficit
aspect|Sun|Jupiter|trine,0.07190160832544938,0.07687322611163652,0.0072814596289843435,0.9353270567965071,-0.6827776351869451,0.5074626865671642,0.49474736388453827,1.0,1057,200,déficit
aspect|Sun|Jupiter|opposition,0.03122043519394513,0.034077578051087944,0.00501509251840382,0.9161576901721278,-0.5697089030078697,0.6467661691542289,0.5688751506056532,1.0,1057,200,déficit
aspect|Sun|Saturn|conjunction,0.05581835383159887,0.05091296121097456,0.00592615064832197,1.0963486016909763,0.8277536147369635,0.5174129353233831,0.4078100487928025,1.0,1057,200,exceso
aspect|Sun|Mars|square,0.0728476821192053,0.07519867549668856,0.006597665204557151,0.9687362395420543,-0.3563371745294654,0.7661691542288557,0.7215880727428714,1.0,1057,200,déficit
angular|Venus|ASC,0.03878902554399243,0.044323557237464506,0.006703688424296594,0.875133404482391,-0.8255950072818014,0.47761194029850745,0.40903386827916227,1.0,1057,200,déficit
angular|Venus|DSC,0.041627246925260174,0.04365657521286661,0.00617904698186349,0.9535160905840285,-0.32842091888325897,0.8955223880597015,0.7425934283798769,1.0,1057,200,déficit
angular|Venus|MC,0.04730368968779565,0.044139072847682155,0.006395941485278769,1.0716964955524586,0.4947851457674122,0.7164179104477612,0.620751790815155,1.0,1057,200,exceso
angular|Venus|IC,0.04541154210028382,0.04453642384105963,0.006168512477401329,1.019649495485926,0.14186860485898892,0.8855721393034826,0.8871837931408346,1.0,1057,200,exceso
angular|Mars|ASC,0.048249763481551564,0.04366603595080415,0.005877391194022052,1.104972375690608,0.7798915163941385,0.46766169154228854,0.4354547324147232,1.0,1057,200,exceso
angular|Mars|DSC,0.050141911069063384,0.04421948912015141,0.006164356749041234,1.1339323919554976,0.9607526283797756,0.3283582089552239,0.3366765624330786,1.0,1057,200,exceso
angular|Mars|MC,0.04919583727530748,0.045714285714285735,0.006506905497066898,1.0761589403973506,0.5350548832453633,0.6766169154228856,0.5926119065226803,1.0,1057,200,exceso
